,COD_PRO,COD_SEL,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Requires_Carbonate_RL,Requires_Isolation_RL,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Requires_Carbonate_APP,Requires_Isolation_APP,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Year_Selection,Year_Implementation,Concluded_Isolation,Project_Status,Requires_Isolation,Requires_Carbonate
1,PRO0002,SEL0002,104,10,20,3,CONCLUIDO,0.95,1.06,0.0,1.06,0.0,0.0,,0,,0,,2019.0,0.0,0.0,2,A,C,0.0,APP SAF,2019.0,2018.0,2019.0,1,CONCLUIDO,1.0,0.0
2,PRO0003,SEL0003,129,6,25,3,,0.0,3.7,0.0,3.7,0.0,0.0,,0,,0,,2018.0,0.0,0.0,2,A,C,1920.0,APP SAF,2018.0,2018.0,2018.0,0,CONCLUIDO,1.0,0.0
3,PRO0004,SEL0004,204,5,20,4,,0.0,1.22,0.0,1.22,0.0,0.0,,0,,0,,2018.0,0.0,0.0,2,A,C,2500.0,APP SAF,2018.0,2018.0,2018.0,0,CONCLUIDO,1.0,0.0
7,PRO0008,SEL0008,46,3,10,1,CONCLUIDO,0.66,1.0,0.0,1.0,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,560.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
12,PRO0013,SEL0013,20,3,10,1,,0.0,0.3,0.0,0.3,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,230.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
13,PRO0014,SEL0014,99,8,10,3,,0.65,0.53,0.0,0.53,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1200.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
14,PRO0015,SEL0015,0,0,0,0,,0.2,0.0,0.37,0.37,0.0,0.0,1,C,,600,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
15,PRO0016,SEL0016,0,0,0,0,,0.0,0.35,0.2,0.55,0.0,0.0,1,B,,200,RL SAF,2018.0,0.0,0.0,1,C,,0.0,APP SAF,2018.0,2018.0,2018.0,0,CONCLUIDO,0.0,0.0
19,PRO0020,SEL0020,91,6,20,3,CONCLUIDO,0.4,0.62,0.0,0.62,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,615.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
21,PRO0022,SEL0022,65,3,10,2,CONCLUIDO,0.75,1.39,0.0,1.39,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1350.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
