,COD_PRO,COD_EXT_x,COD_MUN,COD_SEDE,Farm,X_UTM,Y_UTM,County,Num_Visits,CAD_PLA,COD_EXT_y,Affiliation,NOME DA ASSOCIÇÃO,Main_Activity,Secondary_Activity
0,PRO0001,4.0,14,RLM01180711,SITIO ITAMARAJU,604910.0,8690361.0,ROLIM DE MOURA,1,PLA 0001,4.0,STTR,,BOVINOCULTURA DE CORTE,PISCICULTURA
1,PRO0002,4.0,14,RLM02180711,NOSSA SENHORA DE APARECIDA,613360.0,8695236.0,ROLIM DE MOURA,16,PLA 0002,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,
2,PRO0003,4.0,14,RLM01180716,SITIO ITAGUAJE,637241.0,8713875.0,ROLIM DE MOURA,23,PLA 0003,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,APICULTURA
3,PRO0004,4.0,14,RLM02180716,SITIO BOA VISTA,637050.0,8716313.0,ROLIM DE MOURA,24,PLA 0004,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,CAFEICULTURA
4,PRO0005,4.0,14,RLM01180718,POUSO ALEGRE,620717.0,8708956.0,ROLIM DE MOURA,1,PLA 0005,4.0,STTR,,BOVINOCULTURA DE LEITE,SAF
5,PRO0006,4.0,14,RLM02180718,SITIO PARAISO,621334.0,8731121.0,ROLIM DE MOURA,0,PLA 0006,4.0,STTR,,CAFEICULTURA,SAF
6,PRO0007,4.0,14,RLM01180723,CHACARA SOL BRILHANTE,625152.0,8706698.0,ROLIM DE MOURA,0,PLA 0007,4.0,ASSOCIAÇÃO,,CAFEICULTURA,LAVOURA
7,PRO0008,4.0,14,RLM01180725,SITIO ALTO ALEGRE,621575.0,8700745.0,ROLIM DE MOURA,0,PLA 0008,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,CAFEICULTURA
8,PRO0009,4.0,14,RLM01180727,CHACARA RAMOS,620977.0,8690594.0,ROLIM DE MOURA,0,PLA 0009,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE LEITE,CAFEICULTURA
9,PRO0010,4.0,14,RLM02180919,CHACARA AMAZONIA NOSSA,626050.0,8689710.0,ROLIM DE MOURA,0,PLA 0010,4.0,ASSOCIAÇÃO,,CAFEICULTURA,BOVINOCULTURA DE LEITE
10,PRO0011,4.0,14,RLM01180808,ESTANCIA VIVAN,636920.0,8694152.0,ROLIM DE MOURA,0,PLA 0011,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,
11,PRO0012,4.0,14,RLM02180808,CANTINHO DO CÉU,637184.0,8693669.0,ROLIM DE MOURA,0,PLA 0012,4.0,ASSOCIAÇÃO,,FRUTICULTURA,
12,PRO0013,4.0,14,RLM02180920,CHACARA CONSUELO,632543.0,8694695.0,ROLIM DE MOURA,0,PLA 0013,4.0,ASSOCIAÇÃO,,OLERICULTURA,CAFEICULTURA
13,PRO0014,4.0,14,RLM01180920,SITIO TOTOEL,633084.0,8699303.0,ROLIM DE MOURA,0,PLA 0014,4.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,LAVOURA
14,PRO0015,4.0,14,RLM03180920,CHACARA PRESENTE,634801.0,8692636.0,ROLIM DE MOURA,0,PLA 0015,4.0,ASSOCIAÇÃO,,CAFEICULTURA,HORTICULTURA
15,PRO0016,4.0,14,RLM01180919,CHACARA SÃO JOSÉ,624985.0,8696436.0,ROLIM DE MOURA,0,PLA 0016,4.0,ASSOCIAÇÃO,,CAFEICULTURA,FRUTICULTURA*
