,COD_PLA,COD_PRO,Farm,X_UTM,Y_UTM,County,GLEBA,LINHA,KM,LOTE,Num_Visits,ASSOCIAÇÃO / STTR,Main_Activity,Secondary_Activity,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Concluded_Isolation
0,PLA 0001,PRO 0001,SITIO ITAMARAJU,604910.0,8690361.0,ROLIM DE MOURA,4,156 SUL,2020-05-13 00:00:00,104,1,STTR,BOVINOCULTURA DE CORTE,PISCICULTURA,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,,,2018.0,0
1,PLA 0002,PRO 0002,NOSSA SENHORA DE APARECIDA,613360.0,8695236.0,ROLIM DE MOURA,26,164 SUL,2020-05-08 00:00:00,21,16,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,104,10,20.0,3.0,CONCLUIDO,0.95,1.06,,1.06,,0,,0,,2019.0,2,A,C,0.0,APP SAF,2019.0,1
2,PLA 0003,PRO 0003,SITIO ITAGUAJE,637241.0,8713875.0,ROLIM DE MOURA,13,188 SUL,10,86,23,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,APICULTURA,129,6,25.0,3.0,,0,3.7,,3.7,,0,,0,,2018.0,2,A,C,1920.0,APP SAF,2018.0,0
3,PLA 0004,PRO 0004,SITIO BOA VISTA,637050.0,8716313.0,ROLIM DE MOURA,11,188 SUL,13,81,24,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,CAFEICULTURA,204,5,20.0,4.0,,0,1.22,,1.22,,0,,0,,2018.0,2,A,C,2500.0,APP SAF,2018.0,0
4,PLA 0005,PRO 0005,POUSO ALEGRE,620717.0,8708956.0,ROLIM DE MOURA,21,172 NORTE,5,96-C,1,STTR,BOVINOCULTURA DE LEITE,SAF,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
5,PLA 0006,PRO 0006,SITIO PARAISO,621334.0,8731121.0,ROLIM DE MOURA,19,172 NORTE,10,24,0,STTR,CAFEICULTURA,SAF,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
6,PLA 0007,PRO 0007,CHACARA SOL BRILHANTE,625152.0,8706698.0,ROLIM DE MOURA,19,176 NORTE,2020-05-03 00:00:00,100-C,0,ASSOCIAÇÃO,CAFEICULTURA,LAVOURA,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
7,PLA 0008,PRO 0008,SITIO ALTO ALEGRE,621575.0,8700745.0,ROLIM DE MOURA,20,172 SUL,3,79-A,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,CAFEICULTURA,46,3,10.0,1.0,CONCLUIDO,0.66,1.0,,1.0,,0,,0,,2019.0,5,H,,560.0,APP DIV,2019.0,1
8,PLA 0009,PRO 0009,CHACARA RAMOS,620977.0,8690594.0,ROLIM DE MOURA,22,172 SUL,13,31-A2,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,CAFEICULTURA,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
9,PLA 0010,PRO 0010,CHACARA AMAZONIA NOSSA,626050.0,8689710.0,ROLIM DE MOURA,18,176 SUL,14,57,0,ASSOCIAÇÃO,CAFEICULTURA,BOVINOCULTURA DE LEITE,,,,,,0,,,0.0,,B,,0,RL SAF,2018.0,1,B,,0.0,APP SAF,2018.0,0
10,PLA 0011,PRO 0011,ESTANCIA VIVAN,636920.0,8694152.0,ROLIM DE MOURA,14,188 SUL,2020-05-09 00:00:00,23-A REM,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
11,PLA 0012,PRO 0012,CANTINHO DO CÉU,637184.0,8693669.0,ROLIM DE MOURA,12,188 SUL,10,65,0,ASSOCIAÇÃO,FRUTICULTURA,,,,,,,0,,,0.0,,,,,,2018.0,,,,,,2018.0,0
12,PLA 0013,PRO 0013,CHACARA CONSUELO,632543.0,8694695.0,ROLIM DE MOURA,16,184 SUL,9,22 -E,0,ASSOCIAÇÃO,OLERICULTURA,CAFEICULTURA,20,3,10.0,1.0,,0,0.3,,0.3,,,,,,2019.0,5,H,,230.0,APP DIV,2019.0,0
13,PLA 0014,PRO 0014,SITIO TOTOEL,633084.0,8699303.0,ROLIM DE MOURA,16,184 SUL,2020-05-04 00:00:00,13-B3-A,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,LAVOURA,99,8,10.0,3.0,,0.65,0.53,,0.53,,,,,,2019.0,5,H,,1200.0,APP DIV,2019.0,0
